"Número Licitação";"Código UG";"Nome UG";"Código Modalidade Compra";"Modalidade Compra";"Número Processo";"Objeto";"Situação Licitação";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"UF";"Município";"Data Resultado Compra";"Data Abertura";"Valor Licitação"
"000042021";"158408";"INST. FED. DA BAHIA/CAMPUS PORTO SEGURO";"6";"Dispensa de Licitação";"23282001172202110";"Objeto: Carga/Recarga dos extintores de incêndio para atender as necessidades de prevenção e combate a incêndios no Campus Porto Seguro IFBA.";"Encerrado";"26000";"Ministério da Educação";"26427";"Instituto Federal de Educação, Ciência e T";"BA";"PORTO SEGURO";"24/09/2021";"";"4235,0000"
"000042021";"158439";"INST.FED.DO NORTE DE MG/CAMPUS ALMENARA";"9999";"Pregão - Registro de Preço";"23390000451202139";"Objeto: Pregão Eletrônico - Aquisição de materiais e insumos agropecuários e ração animal.";"Publicado";"26000";"Ministério da Educação";"26410";"Instituto Federal de Educação, Ciência e T";"MG";"ALMENARA";"20/09/2021";"20/09/2021";"0,00"
"000042021";"158442";"INST. FED. BAIANO - CAMPUS GUANAMBI";"6";"Dispensa de Licitação";"23330251816202104";"Objeto: Aquisição de itens para condicionamento de resíduos e de segurança para atender as demandas do Setor de Laboratórios, conforme condições, quantidades e exigências estabelecidas neste Aviso de Contratação Direta e seus anexos.";"Encerrado";"26000";"Ministério da Educação";"26404";"Instituto Federal de Educação, Ciência e T";"BA";"GUANAMBI";"17/09/2021";"";"5753,0000"
"000042021";"158446";"IFAM - CAMPUS MANAUS DISTRITO INDUSTRIAL";"6";"Dispensa de Licitação";"23443007317202104";"Objeto: Aquisição de materiais de construção";"Encerrado";"26000";"Ministério da Educação";"26403";"Instituto Federal de Educação, Ciência e T";"AM";"MANAUS";"22/09/2021";"";"3290,0000"
"000042021";"158446";"IFAM - CAMPUS MANAUS DISTRITO INDUSTRIAL";"7";"Inexigibilidade de Licitação";"23443012106202185";"Objeto: Aquisição de softwares para o Núcleo de Engenharia.";"Retificação";"26000";"Ministério da Educação";"26403";"Instituto Federal de Educação, Ciência e T";"AM";"MANAUS";"27/09/2021";"";"7535,8200"
"000042021";"158469";"IFPB - CAMPUS JOAO PESSOA";"7";"Inexigibilidade de Licitação";"23326012458202177";"Objeto: Inscrição de MARISTELA B. de FIGUEIREDO, para participação em curso ON LINE.";"Encerrado";"26000";"Ministério da Educação";"26417";"Instituto Federal de Educação, Ciência e T";"PB";"JOAO PESSOA";"15/09/2021";"";"1590,0000"
"000042021";"158473";"IFPB - CAMPUS PICUI";"7";"Inexigibilidade de Licitação";"2316700158320212";"Objeto: Capacitação dos servidores: Alini Casimiro Brandao, Anna Paula Dionisio Ramos , Defsson Douglas de Araujo Ferreira, Felipe Xavier Barbalho da Costa , Francisco Raimundo de Freitas , Madele Maria Barros de Oliveira Freire - no curso 'SINDICÂNCIA E PROCESSO ADMINISTRATIVO DISCIPLINAR com base na Lei nº 8.112/90' oferecido pela empresa SUPREME CAPACITAÇÃO E TREINAMENTO entre a data 18 a 22 de outubro de 2021, 100% online.";"Publicado";"26000";"Ministério da Educação";"26417";"Instituto Federal de Educação, Ciência e T";"PB";"PICUI";"30/09/2021";"";"7740,0000"
"000042021";"158482";"CAMPUS DUQUE DE CAXIAS";"6";"Dispensa de Licitação";"23271000087202190";"Objeto: Contratação de empresa especializada na prestação de serviços de confecção de portas de alumínio para substituição das portas dos armários de bancadas de laboratório de ensino do campus Duque de Caxias. LER O TR NA OBSERVAÇÃO";"Encerrado";"26000";"Ministério da Educação";"26433";"Instituto Federal de Educação, Ciência e T";"RJ";"DUQUE DE CAXIAS";"29/09/2021";"";"40819,0000"
"000042021";"158483";"CAMPUS NILOPOLIS";"7";"Inexigibilidade de Licitação";"232720005552021";"Objeto: Paraticipação da sevidora Raquel da Conceição Borges no curso 'Formação de Pregoeiros', no período de 29/11 a 2/12, modalidade on line e ao vivo.";"Encerrado";"26000";"Ministério da Educação";"26433";"Instituto Federal de Educação, Ciência e T";"RJ";"NILOPOLIS";"24/09/2021";"";"1490,0000"
"000042021";"158492";"INST.FED.MATO GROSSO/CAMPUS CAMPO N. PARECIS";"7";"Inexigibilidade de Licitação";"231920008952021";"Objeto: Contratação do software 'Banco de Preços' para atender o IFMT Campus Campo Novo do Parecis";"Encerrado";"26000";"Ministério da Educação";"26414";"Instituto Federal de Educação, Ciência e T";"MT";"CAMPO NOVO DO PARECIS";"21/09/2021";"";"9875,0000"
"000042021";"158493";"INST.FED.MATO GROSSO/CAMPUS JUINA";"7";"Inexigibilidade de Licitação";"23195000553202161";"Objeto: Pagamento da Taxa anual do Certificado de Cadastro de Imóvel Rural - CCIR - Exercício 2021";"Encerrado";"26000";"Ministério da Educação";"26414";"Instituto Federal de Educação, Ciência e T";"MT";"JUINA";"13/09/2021";"";"14,6600"
"000042021";"158564";"IFAM - CAMPUS LABREA";"5";"Pregão";"23388000128202112";"Objeto: Pregão Eletrônico - Contratação de empresa especializada para prestação de serviços de impressão, confecção e editoração de livros, para atender as demandas da do Instituto Federal de Educação Ciência e Tecnologia do Amazonas / campus Lábrea, conforme Edital e Termo de Referência.";"Publicado";"26000";"Ministério da Educação";"26403";"Instituto Federal de Educação, Ciência e T";"AM";"LABREA";"16/09/2021";"14/09/2021";"21508,0000"
"000042021";"158565";"UNIV.DA INTEG.INTERN.DA LUSOF.AFRO-BRASILEIRA";"9999";"Pregão - Registro de Preço";"23282002480202162";"Objeto: Pregão Eletrônico - Escolha da proposta mais vantajosa para a contratação de serviços de confecção de materiais gráficos para a Universidade da Integração Internacional da Lusofonia Afro-Brasileira (Unilab). Os serviços, objeto desta contratação, incluem a confecção e entrega de materiais de impressão em papel, gráfica rápida e gráfica offset e impressão em suportes diferenciados, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.";"Publicado";"26000";"Ministério da Educação";"26442";"Universidade da Integração Internacional da";"CE";"REDENCAO";"01/09/2021";"26/07/2021";"17250,0000"
"000042021";"158592";"INST. FED. DA BAHIA/CAMPUS JACOBINA";"6";"Dispensa de Licitação";"23745.000929/2021";"Objeto: Serviço de recarga de extintores do Instituto Federal da Bahia - Campus Jacobina.";"Encerrado";"26000";"Ministério da Educação";"26427";"Instituto Federal de Educação, Ciência e T";"BA";"JACOBINA";"03/09/2021";"";"2416,0000"
"000042021";"158717";"UNIVERSIDADE FEDERAL DO OESTE DA BAHIA - UFOB";"9999";"Pregão - Registro de Preço";"23520000107202117";"Objeto: Pregão Eletrônico - Contratação de empresa especializada para realização de avaliações psicológicas admissionais dos candidatos a cargos na Universidade Federal do Oeste da Bahia, conforme condições, quantidades e exigências estabelecidas no Termo de Referência";"Publicado";"26000";"Ministério da Educação";"26447";"Universidade Federal do Oeste da Bahia";"BA";"BARREIRAS";"28/09/2021";"27/09/2021";"0,00"
"000042021";"158886";"INST.FED.ESPIRITO SANTO/CAMPUS BARRA SAO FRAN";"6";"Dispensa de Licitação";"23543000290202121";"Objeto: Contratação de empresa fornecedora de placa de inauguração de obra pública para o Instituto Federal do Espírito Santo - Campus Barra de São Francisco.";"Encerrado";"26000";"Ministério da Educação";"26406";"Instituto Federal de Educação, Ciência e T";"ES";"BARRA DE SAO FRANCISCO";"28/09/2021";"";"910,0000"
"000042021";"158892";"IFES/CAMPUS PIUMA";"9999";"Pregão - Registro de Preço";"23185001428202002";"Objeto: Pregão Eletrônico - Aquisição de equipamentos para laboratórios.";"Evento de Resultado de Julgame";"26000";"Ministério da Educação";"26406";"Instituto Federal de Educação, Ciência e T";"ES";"PIUMA";"06/09/2021";"09/08/2021";"16600,0000"
"000042021";"160002";"COMANDO DE FRONTEIRA ACRE/4 BIS";"7";"Inexigibilidade de Licitação";"65323009400202035";"Objeto: Contratação de serviços de saúde na área de diagnóstico por imagem.";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"AC";"RIO BRANCO";"29/09/2021";"";"536000,0000"
"000042021";"160007";"4 BATALHAO DE AVIACAO DO EXERCITO";"9999";"Pregão - Registro de Preço";"64020001631202123";"Objeto: Pregão Eletrônico - Contratação de empresa especializada em fornecimento de serviço de telecomunicação e de internet por satélite.";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"AM";"MANAUS";"28/09/2021";"27/09/2021";"6276,6400"
"000042021";"160038";"6º DEPOSITO DE SUPRIMENTO";"7";"Inexigibilidade de Licitação";"64452004218202131";"Objeto: Contratação de curso de regularizações contábeis no SIAFI (contas contábeis, eventos, situações e rotinas).";"Encerrado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"BA";"SALVADOR";"17/09/2021";"";"5960,0000"
